arch,flip_y,mu_Se_mean,mu_Se_std,mu_Sp_mean,mu_Sp_std,mu_avg_mean,kappa_Se_mean,kappa_Sp_mean,cv_recall_mean,cv_f1_mean,cv_acc_mean,n_seeds,frac_A,frac_B,frac_C,recall_inflation
GB,0.1,0.8066,0.0146,0.8063,0.0247,0.8065,157.4105,155.1321,0.8321,0.8275,0.827,5,0.0656,0.0016,0.9328,0.0255
GB,0.3,0.7261,0.0135,0.7316,0.0173,0.7288,152.874,150.9137,0.7244,0.7232,0.726,5,0.1146,0.0044,0.881,-0.0017
GB,0.5,0.6774,0.0123,0.6685,0.0194,0.673,146.5732,145.2654,0.617,0.6202,0.6224,5,0.12,0.007,0.873,-0.0604
LR,0.1,0.7158,0.0467,0.7292,0.0596,0.7225,140.7559,141.8891,0.7877,0.7845,0.7842,5,0.1994,0.0086,0.792,0.0719
LR,0.3,0.6438,0.0274,0.6561,0.021,0.6499,142.5731,139.6668,0.7111,0.7101,0.713,5,0.2688,0.0114,0.7198,0.0673
LR,0.5,0.5883,0.0128,0.5918,0.0195,0.5901,144.0795,140.2046,0.6472,0.6351,0.6286,5,0.3428,0.021,0.6362,0.0589
MLP,0.1,0.8592,0.0049,0.8578,0.0042,0.8585,168.2289,167.5403,0.8544,0.8536,0.8534,5,0.0278,0.0016,0.9706,-0.0049
MLP,0.3,0.8232,0.0021,0.8251,0.0063,0.8242,161.8454,162.3097,0.7057,0.707,0.7106,5,0.0372,0.0052,0.9576,-0.1175
MLP,0.5,0.8005,0.0071,0.7991,0.0058,0.7998,156.6843,155.1225,0.613,0.6049,0.6004,5,0.0364,0.005,0.9586,-0.1875
RF,0.1,0.8356,0.0096,0.8344,0.009,0.835,160.7204,160.2937,0.8486,0.8481,0.8482,5,0.0048,0.0004,0.9948,0.013
RF,0.3,0.7889,0.008,0.7904,0.0089,0.7897,158.2806,158.3609,0.7355,0.7452,0.7514,5,0.002,0.0014,0.9966,-0.0534
RF,0.5,0.7625,0.007,0.7595,0.0081,0.761,154.53,155.7294,0.6359,0.6444,0.6498,5,0.0006,0.0,0.9994,-0.1266
SVM,0.1,0.8292,0.006,0.8334,0.0228,0.8313,150.0359,147.3961,0.8756,0.8741,0.874,5,0.0926,0.0016,0.9058,0.0464
SVM,0.3,0.7268,0.0089,0.7373,0.0147,0.7321,144.9853,146.0997,0.7741,0.7719,0.7742,5,0.1764,0.0032,0.8204,0.0473
SVM,0.5,0.6561,0.012,0.659,0.0226,0.6576,144.0918,140.8475,0.6809,0.6808,0.6814,5,0.2388,0.0066,0.7546,0.0247
