sep,flip_y,frac_A_mean,frac_A_std,frac_B_mean,frac_B_std,frac_C_mean,frac_C_std,E1_mean,E1_std,n_valid,n_collapse,arch
0.5000,0.0500,0.0012,0.0012,0.0000,0.0000,0.9988,0.0012,0.0012,0.0012,6,0,RF
0.5000,0.1500,0.0008,0.0010,0.0000,0.0000,0.9992,0.0010,0.0008,0.0010,6,0,RF
0.5000,0.3000,0.0005,0.0005,0.0000,0.0000,0.9995,0.0005,0.0005,0.0005,6,0,RF
1.0000,0.0500,0.0040,0.0015,0.0000,0.0000,0.9960,0.0015,0.0040,0.0015,6,0,RF
1.0000,0.1500,0.0067,0.0030,0.0000,0.0000,0.9933,0.0030,0.0067,0.0030,6,0,RF
1.0000,0.3000,0.0032,0.0024,0.0000,0.0000,0.9968,0.0024,0.0032,0.0024,6,0,RF
1.5000,0.0500,0.0092,0.0038,0.0000,0.0000,0.9908,0.0038,0.0092,0.0038,6,0,RF
1.5000,0.1500,0.0163,0.0016,0.0002,0.0004,0.9835,0.0019,0.0163,0.0016,6,0,RF
1.5000,0.3000,0.0098,0.0036,0.0003,0.0005,0.9898,0.0038,0.0098,0.0036,6,0,RF
2.0000,0.0500,0.0128,0.0032,0.0000,0.0000,0.9872,0.0032,0.0128,0.0032,6,0,RF
2.0000,0.1500,0.0248,0.0029,0.0000,0.0000,0.9752,0.0029,0.0248,0.0029,6,0,RF
2.0000,0.3000,0.0165,0.0046,0.0000,0.0000,0.9835,0.0046,0.0165,0.0046,6,0,RF
0.5000,0.0500,0.3297,0.0510,0.0025,0.0026,0.6678,0.0534,0.3297,0.0510,6,0,LR
0.5000,0.1500,0.3528,0.0339,0.0023,0.0022,0.6448,0.0342,0.3528,0.0339,6,0,LR
0.5000,0.3000,0.3883,0.0297,0.0032,0.0013,0.6085,0.0301,0.3883,0.0297,6,0,LR
1.0000,0.0500,0.1600,0.0347,0.0008,0.0008,0.8392,0.0349,0.1600,0.0347,5,1,LR
1.0000,0.1500,0.2215,0.0493,0.0020,0.0014,0.7765,0.0502,0.2215,0.0493,6,0,LR
1.0000,0.3000,0.2818,0.0353,0.0012,0.0008,0.7170,0.0354,0.2818,0.0353,6,0,LR
1.5000,0.0500,0.1015,0.0554,0.0003,0.0005,0.8982,0.0554,0.1015,0.0554,6,0,LR
1.5000,0.1500,0.1495,0.0423,0.0008,0.0012,0.8497,0.0434,0.1495,0.0423,6,0,LR
1.5000,0.3000,0.2192,0.0344,0.0012,0.0019,0.7797,0.0354,0.2192,0.0344,6,0,LR
2.0000,0.0500,0.0588,0.0366,0.0000,0.0000,0.9412,0.0366,0.0588,0.0366,6,0,LR
2.0000,0.1500,0.1145,0.0278,0.0000,0.0000,0.8855,0.0278,0.1145,0.0278,6,0,LR
2.0000,0.3000,0.1863,0.0258,0.0002,0.0004,0.8135,0.0261,0.1863,0.0258,6,0,LR
