flip_y,seed,N_original,mu_Se_oracle,mu_Sp_oracle,std_Se_oracle,E1_LR,collapse,n_type_A,fraction_removed,frac_A_LR,frac_B_LR,frac_C_LR,mu_Se_noisy,mu_Sp_noisy,std_Se_noisy,N_clean,mu_Se_clean,mu_Sp_clean,std_Se_clean,skip_reason
0.0000,0,1000,0.8508,0.8346,0.0035,0.2860,False,267,0.2670,0.2670,0.0140,0.7190,0.8508,0.8347,0.0035,733,0.8923,0.8826,0.0031,
0.0000,1,1000,0.8702,0.8803,0.0033,0.0980,False,91,0.0910,0.0910,0.0040,0.9050,0.8702,0.8803,0.0032,909,0.8995,0.9024,0.0029,
0.0000,2,1000,0.8740,0.8870,0.0032,0.1680,False,161,0.1610,0.1610,0.0050,0.8340,0.8739,0.8870,0.0033,839,0.9160,0.9212,0.0027,
0.0000,3,1000,0.8697,0.8727,0.0033,0.1650,False,160,0.1600,0.1600,0.0030,0.8370,0.8698,0.8727,0.0033,840,0.9129,0.9140,0.0028,
0.0000,4,1000,0.8456,0.8636,0.0036,0.1790,False,165,0.1650,0.1650,0.0050,0.8300,0.8455,0.8635,0.0035,835,0.8985,0.8969,0.0031,
0.0000,5,1000,0.8810,0.8713,0.0032,0.1220,False,113,0.1130,0.1130,0.0070,0.8800,0.8809,0.8714,0.0032,887,0.9028,0.8996,0.0029,
0.0500,0,1000,0.8509,0.8345,0.0035,0.3030,False,282,0.2820,0.2820,0.0100,0.7080,0.8350,0.8281,0.0035,718,0.8905,0.8796,0.0032,
0.0500,1,1000,0.8703,0.8802,0.0033,0.1150,False,112,0.1120,0.1120,0.0010,0.8870,0.8550,0.8656,0.0035,888,0.9014,0.9019,0.0029,
0.0500,2,1000,0.8738,0.8870,0.0033,0.1840,False,171,0.1710,0.1710,0.0070,0.8220,0.8620,0.8754,0.0035,829,0.9169,0.9217,0.0027,
0.0500,3,1000,0.8698,0.8728,0.0034,0.1810,False,166,0.1660,0.1660,0.0090,0.8250,0.8584,0.8517,0.0036,834,0.9126,0.9110,0.0028,
0.0500,4,1000,0.8458,0.8631,0.0035,0.1960,False,183,0.1830,0.1830,0.0060,0.8110,0.8336,0.8468,0.0039,817,0.8930,0.8921,0.0031,
0.0500,5,1000,0.8809,0.8713,0.0032,0.1340,False,129,0.1290,0.1290,0.0050,0.8660,0.8645,0.8571,0.0033,871,0.8996,0.8981,0.0029,
0.1000,0,1000,0.8507,0.8346,0.0035,0.3050,False,283,0.2830,0.2830,0.0070,0.7100,0.8288,0.8202,0.0037,717,0.8861,0.8768,0.0032,
0.1000,1,1000,0.8702,0.8802,0.0033,0.1470,False,141,0.1410,0.1410,0.0040,0.8550,0.8390,0.8410,0.0037,859,0.9017,0.8991,0.0029,
0.1000,2,1000,0.8739,0.8869,0.0032,0.2150,False,203,0.2030,0.2030,0.0050,0.7920,0.8380,0.8411,0.0037,797,0.9118,0.9177,0.0028,
0.1000,3,1000,0.8697,0.8727,0.0034,0.1950,False,184,0.1840,0.1840,0.0040,0.8120,0.8483,0.8351,0.0036,816,0.9145,0.9096,0.0027,
0.1000,4,1000,0.8459,0.8632,0.0036,0.2080,False,196,0.1960,0.1960,0.0100,0.7940,0.8250,0.8364,0.0037,804,0.8942,0.8904,0.0030,
0.1000,5,1000,0.8809,0.8715,0.0032,0.1610,False,155,0.1550,0.1550,0.0030,0.8420,0.8446,0.8452,0.0036,845,0.8983,0.9002,0.0029,
0.1500,0,1000,0.8509,0.8346,0.0035,0.3140,False,289,0.2890,0.2890,0.0130,0.6980,0.8075,0.8149,0.0042,711,0.8800,0.8775,0.0032,
0.1500,1,1000,0.8702,0.8803,0.0033,0.1620,False,150,0.1500,0.1500,0.0070,0.8430,0.8287,0.8312,0.0038,850,0.8956,0.8980,0.0031,
0.1500,2,1000,0.8739,0.8871,0.0033,0.2280,False,217,0.2170,0.2170,0.0040,0.7790,0.8297,0.8349,0.0037,783,0.9063,0.9192,0.0029,
0.1500,3,1000,0.8698,0.8727,0.0033,0.2220,False,209,0.2090,0.2090,0.0060,0.7850,0.8274,0.8260,0.0037,791,0.9106,0.9099,0.0028,
0.1500,4,1000,0.8459,0.8632,0.0036,0.2370,False,217,0.2170,0.2170,0.0110,0.7720,0.8063,0.8177,0.0039,783,0.8963,0.8924,0.0031,
0.1500,5,1000,0.8809,0.8713,0.0032,0.1910,False,176,0.1760,0.1760,0.0100,0.8140,0.8259,0.8264,0.0037,824,0.8965,0.8969,0.0030,
0.2000,0,1000,0.8508,0.8346,0.0034,0.3170,False,292,0.2920,0.2920,0.0100,0.6980,0.8058,0.8082,0.0040,708,0.8798,0.8810,0.0032,
0.2000,1,1000,0.8703,0.8802,0.0034,0.1830,False,170,0.1700,0.1700,0.0050,0.8250,0.8197,0.8172,0.0039,830,0.8943,0.8923,0.0031,
0.2000,2,1000,0.8739,0.8870,0.0033,0.2480,False,229,0.2290,0.2290,0.0140,0.7570,0.8215,0.8304,0.0039,771,0.9086,0.9169,0.0028,
0.2000,3,1000,0.8698,0.8727,0.0035,0.2290,False,218,0.2180,0.2180,0.0080,0.7740,0.8296,0.8155,0.0039,782,0.9085,0.9039,0.0028,
0.2000,4,1000,0.8456,0.8636,0.0036,0.2650,False,244,0.2440,0.2440,0.0120,0.7440,0.8017,0.8012,0.0039,756,0.8900,0.8868,0.0030,
0.2000,5,1000,0.8809,0.8714,0.0032,0.2290,False,207,0.2070,0.2070,0.0160,0.7770,0.8115,0.8138,0.0039,793,0.8960,0.8979,0.0031,
0.2500,0,1000,0.8508,0.8346,0.0035,0.3410,False,314,0.3140,0.3140,0.0150,0.6710,0.7868,0.7958,0.0043,686,0.8757,0.8729,0.0035,
0.2500,1,1000,0.8702,0.8803,0.0033,0.2090,False,201,0.2010,0.2010,0.0050,0.7940,0.8122,0.8092,0.0040,799,0.8953,0.8983,0.0030,
0.2500,2,1000,0.8739,0.8870,0.0032,0.2590,False,240,0.2400,0.2400,0.0070,0.7530,0.8121,0.8153,0.0040,760,0.9094,0.9171,0.0029,
0.2500,3,1000,0.8698,0.8728,0.0033,0.2600,False,243,0.2430,0.2430,0.0120,0.7450,0.8065,0.7959,0.0042,757,0.9084,0.9078,0.0028,
0.2500,4,1000,0.8453,0.8638,0.0036,0.2700,False,250,0.2500,0.2500,0.0090,0.7410,0.7895,0.7984,0.0041,750,0.8941,0.8884,0.0029,
0.2500,5,1000,0.8809,0.8714,0.0033,0.2160,False,204,0.2040,0.2040,0.0060,0.7900,0.8144,0.8108,0.0040,796,0.8910,0.8900,0.0031,
0.3000,0,1000,0.8508,0.8346,0.0036,0.3450,False,314,0.3140,0.3140,0.0130,0.6730,0.7807,0.7866,0.0042,686,0.8697,0.8719,0.0034,
0.3000,1,1000,0.8702,0.8803,0.0033,0.2390,False,230,0.2300,0.2300,0.0030,0.7670,0.7967,0.7957,0.0041,770,0.8956,0.8949,0.0030,
0.3000,2,1000,0.8739,0.8870,0.0033,0.2840,False,258,0.2580,0.2580,0.0170,0.7250,0.7965,0.8040,0.0043,742,0.9034,0.9094,0.0029,
0.3000,3,1000,0.8697,0.8728,0.0033,0.2880,False,269,0.2690,0.2690,0.0130,0.7180,0.7925,0.7828,0.0041,731,0.9001,0.8955,0.0032,
0.3000,4,1000,0.8452,0.8638,0.0036,0.2970,False,270,0.2700,0.2700,0.0140,0.7160,0.7824,0.7842,0.0041,730,0.8829,0.8804,0.0032,
0.3000,5,1000,0.8809,0.8713,0.0033,0.2670,False,247,0.2470,0.2470,0.0090,0.7440,0.7942,0.8033,0.0042,753,0.8935,0.8994,0.0030,
