arch,n_samples,B,chains,elapsed_s,flip_y,class_sep,seed
LR,1000,50,4,61.52631237497553,0.1,1.5,0
RF,1000,50,4,75.56308629200794,0.1,1.5,0
SVM,1000,50,4,63.34708366700215,0.1,1.5,0
GB,1000,50,4,86.80788729098276,0.1,1.5,0
MLP,1000,50,4,265.4813858749985,0.1,1.5,0
RF,1000,25,4,33.123041040991666,0.1,1.5,0
RF,1000,100,4,167.97071975001018,0.1,1.5,0
RF,1000,100,4,166.34680258401204,0.1,1.5,1
RF,1000,100,4,164.51772179099498,0.1,1.5,2
RF,500,50,4,38.37746116699418,0.1,1.5,0
RF,2000,50,4,156.44512499999837,0.1,1.5,0
RF,2000,50,4,169.81439945899183,0.1,1.5,1
RF,2000,50,4,165.3000508340192,0.1,1.5,2
