flip_y,arch,seed,sample_idx,p_truth,ambiguity,discordance,entropy
0.1,LR,0,0,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,1,2.9252326790749995e-10,5.850465667478488e-10,2.9252326790749995e-10,7.616708907106161e-09
0.1,LR,0,2,1.8066987779387522e-71,0.0,1.8066987779387522e-71,-1.4426951595367387e-09
0.1,LR,0,3,0.2714769226725,0.542953845345,0.2714769226725,0.8435759504031095
0.1,LR,0,4,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,5,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,6,0.006740923244749999,0.013481846489500016,0.006740923244749999,0.05831342960348372
0.1,LR,0,7,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,8,6.289092468875e-08,1.2578184938050185e-07,6.289092468875e-08,1.5923711132681483e-06
0.1,LR,0,9,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,10,3.239737176984999e-08,6.479474357057313e-08,0.9999999676026282,8.499079199679295e-07
0.1,LR,0,11,7.607126542362501e-29,0.0,7.607126542362501e-29,-1.4426951595367387e-09
0.1,LR,0,12,3.0593180305963255e-51,0.0,3.0593180305963255e-51,-1.4426951595367387e-09
0.1,LR,0,13,1.47266670502575e-24,0.0,1.47266670502575e-24,-1.4426951595366946e-09
0.1,LR,0,14,1.0,0.0,1.0,-1.4426951595367387e-09
0.1,LR,0,15,3.200865985235e-20,0.0,1.0,-1.4426951585797645e-09
0.1,LR,0,16,8.333294760349999e-10,1.6666589219838102e-09,8.333294760349999e-10,2.3945172387316352e-08
0.1,LR,0,17,3.4047185070699997e-09,6.809437014254627e-09,3.4047185070699997e-09,9.797848355058143e-08
0.1,LR,0,18,2.1421626831707498e-40,0.0,2.1421626831707498e-40,-1.4426951595367387e-09
0.1,LR,0,19,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,20,0.9999979713125,4.05737499997727e-06,0.9999979713125,4.128844317465874e-05
0.1,LR,0,21,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,22,7.911096621549999e-05,0.0001582219324309797,7.911096621549999e-05,0.0011920728576733633
0.1,LR,0,23,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,24,3.729623834244999e-12,7.45925543554904e-12,3.729623834244999e-12,-1.3258285149464842e-09
0.1,LR,0,25,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,26,0.9999999832549997,3.3490000550528976e-08,0.9999999832549997,4.53865704400753e-07
0.1,LR,0,27,7.59725001886475e-44,0.0,7.59725001886475e-44,-1.4426951595367387e-09
0.1,LR,0,28,0.9999999784499999,4.3100000235440916e-08,2.1550000117720458e-08,5.770668931617708e-07
0.1,LR,0,29,1.0,0.0,1.0,-1.4426951595367387e-09
0.1,LR,0,30,1.025033305885e-15,1.9984014443252818e-15,1.025033305885e-15,-1.4426629120425695e-09
0.1,LR,0,31,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,32,0.99976028211,0.00047943577999998155,0.99976028211,0.003228732661608458
0.1,LR,0,33,1.6262298272325e-08,3.252459657154816e-08,1.6262298272325e-08,4.413877406029838e-07
0.1,LR,0,34,8.4974325173e-06,1.699486503459191e-05,8.4974325173e-06,0.00015539162163546167
0.1,LR,0,35,1.02059179357375e-23,0.0,1.02059179357375e-23,-1.4426951595364334e-09
0.1,LR,0,36,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,37,2.2405784139475004e-10,4.4811565569347067e-10,0.9999999997759421,5.5139370427263465e-09
0.1,LR,0,38,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,39,0.9999993802599999,1.2394800001924722e-06,0.9999993802599999,1.3671386463086859e-05
0.1,LR,0,40,0.999999999555,8.900000736389302e-10,0.999999999555,1.2267301347288418e-08
0.1,LR,0,41,1.3932729256299998e-06,2.78654585128546e-06,1.3932729256299998e-06,2.911064622741305e-05
0.1,LR,0,42,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,43,2.736282062051275e-52,0.0,1.0,-1.4426951595367387e-09
0.1,LR,0,44,7.88799339397e-40,0.0,7.88799339397e-40,-1.4426951595367387e-09
0.1,LR,0,45,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,46,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,47,5.894647516277501e-20,0.0,5.894647516277501e-20,-1.442695157774395e-09
0.1,LR,0,48,1.5466355823581e-50,0.0,1.5466355823581e-50,-1.4426951595367387e-09
0.1,LR,0,49,1.0,0.0,1.0,-1.4426951595367387e-09
0.1,LR,0,50,1.24326852969225e-27,0.0,1.24326852969225e-27,-1.4426951595367387e-09
0.1,LR,0,51,3.63686567788075e-37,0.0,1.0,-1.4426951595367387e-09
