flip_y,arch,seed,sample_idx,p_truth,ambiguity,discordance,entropy
0.1,LR,0,0,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,1,3.8958019685875e-19,0.0,3.8958019685875e-19,-1.442695147889322e-09
0.1,LR,0,2,2.8911235018032053e-146,0.0,2.8911235018032053e-146,-1.4426951595367387e-09
0.1,LR,0,3,1.5569841653974998e-13,3.114175584073564e-13,1.5569841653974998e-13,-1.4378156638118116e-09
0.1,LR,0,4,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,5,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,6,0.00110864865253,0.0022172973050600397,0.00110864865253,0.01248213602142121
0.1,LR,0,7,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,8,2.7974910723660002e-36,0.0,2.7974910723660002e-36,-1.4426951595367387e-09
0.1,LR,0,9,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,10,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,11,6.530969982304775e-65,0.0,6.530969982304775e-65,-1.4426951595367387e-09
0.1,LR,0,12,5.42804105321564e-133,0.0,5.42804105321564e-133,-1.4426951595367387e-09
0.1,LR,0,13,9.5439898909308e-83,0.0,9.5439898909308e-83,-1.4426951595367387e-09
0.1,LR,0,14,1.0,0.0,1.0,-1.4426951595367387e-09
0.1,LR,0,15,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,16,5.2929351743017246e-73,0.0,5.2929351743017246e-73,-1.4426951595367387e-09
0.1,LR,0,17,8.1692643773925e-29,0.0,8.1692643773925e-29,-1.4426951595367387e-09
0.1,LR,0,18,7.9990979209875e-53,0.0,7.9990979209875e-53,-1.4426951595367387e-09
0.1,LR,0,19,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,20,8.3883577037275e-17,2.220446049250313e-16,8.3883577037275e-17,-1.4426923312971972e-09
0.1,LR,0,21,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,22,4.6711338523114995e-38,0.0,4.6711338523114995e-38,-1.4426951595367387e-09
0.1,LR,0,23,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,24,4.9331945057535e-51,0.0,4.9331945057535e-51,-1.4426951595367387e-09
0.1,LR,0,25,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,26,9.1021503891e-09,1.820430073351531e-08,9.1021503891e-09,2.5344898535769863e-07
0.1,LR,0,27,3.388157534903076e-133,0.0,3.388157534903076e-133,-1.4426951595367387e-09
0.1,LR,0,28,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,29,2.9801846718217505e-32,0.0,2.9801846718217505e-32,-1.4426951595367387e-09
0.1,LR,0,30,9.08035820806e-54,0.0,9.08035820806e-54,-1.4426951595367387e-09
0.1,LR,0,31,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,32,6.814764881825e-22,0.0,6.814764881825e-22,-1.4426951595163644e-09
0.1,LR,0,33,2.8248680323899997e-31,0.0,2.8248680323899997e-31,-1.4426951595367387e-09
0.1,LR,0,34,5.6387791893074994e-27,0.0,5.6387791893074994e-27,-1.4426951595367385e-09
0.1,LR,0,35,7.667868940968678e-98,0.0,7.667868940968678e-98,-1.4426951595367387e-09
0.1,LR,0,36,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,37,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,38,1.6750259635675e-06,3.3500519270868168e-06,0.9999983249740364,3.4553032901873154e-05
0.1,LR,0,39,2.352877730074e-27,0.0,2.352877730074e-27,-1.4426951595367387e-09
0.1,LR,0,40,1.0,0.0,1.0,-1.4426951595367387e-09
0.1,LR,0,41,9.452947855175e-28,0.0,9.452947855175e-28,-1.4426951595367387e-09
0.1,LR,0,42,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,43,1.2100515269546001e-65,0.0,1.0,-1.4426951595367387e-09
0.1,LR,0,44,3.0376972303395005e-42,0.0,3.0376972303395005e-42,-1.4426951595367387e-09
0.1,LR,0,45,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,46,1.0,0.0,0.0,-1.4426951595367387e-09
0.1,LR,0,47,1.309143655288375e-69,0.0,1.309143655288375e-69,-1.4426951595367387e-09
0.1,LR,0,48,2.4237831497743473e-113,0.0,2.4237831497743473e-113,-1.4426951595367387e-09
0.1,LR,0,49,1.0,0.0,1.0,-1.4426951595367387e-09
0.1,LR,0,50,4.040019388193366e-109,0.0,4.040019388193366e-109,-1.4426951595367387e-09
0.1,LR,0,51,0.9999999667699999,6.646000016985454e-08,3.323000008492727e-08,8.706074945227694e-07
0.1,LR,0,52,1.0814799557874998e-22,0.0,1.0814799557874998e-22,-1.4426951595335054e-09
0.1,LR,0,53,0.99999999611,7.779999977586272e-09,3.889999988793136e-09,1.1156263491854314e-07
