,acc_mean,acc_mean,f1_mean,f1_mean,rec_mean,rec_mean,prec_mean,prec_mean,mu_Se,mu_Se,mu_Sp,mu_Sp,mu_avg,mu_avg
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
flip_y,,,,,,,,,,,,,,
0.0,0.9531,0.0131,0.9529,0.0133,0.9495,0.0186,0.957,0.0163,0.9148,0.0111,0.9144,0.0159,0.9146,0.0128
0.05,0.9325,0.0159,0.932,0.0163,0.9276,0.0216,0.9371,0.0164,0.8917,0.0122,0.893,0.0133,0.8923,0.0121
0.1,0.9046,0.012,0.9042,0.0121,0.8996,0.0175,0.91,0.0129,0.8706,0.0079,0.8699,0.0076,0.8703,0.0065
0.15,0.875,0.011,0.8745,0.011,0.8748,0.0139,0.8751,0.0175,0.8505,0.0086,0.8525,0.005,0.8515,0.0065
0.2,0.8636,0.0117,0.8635,0.0113,0.8614,0.0147,0.8667,0.0164,0.841,0.0103,0.8392,0.0088,0.8401,0.0086
0.3,0.8048,0.0155,0.8021,0.0171,0.7984,0.0257,0.8071,0.0133,0.8071,0.0065,0.81,0.0094,0.8085,0.0064
0.4,0.7574,0.0138,0.757,0.0114,0.7529,0.0182,0.7628,0.0165,0.7913,0.0074,0.7884,0.0091,0.7899,0.0036
0.5,0.6934,0.0259,0.6912,0.0283,0.6838,0.0337,0.7019,0.0309,0.7744,0.0094,0.7702,0.0091,0.7723,0.0054
0.6,0.6495,0.0157,0.6511,0.0267,0.6501,0.0395,0.654,0.0173,0.7617,0.007,0.7582,0.006,0.7599,0.0026
0.7,0.5896,0.0171,0.5971,0.0219,0.5968,0.0291,0.5995,0.0173,0.754,0.0063,0.7461,0.0077,0.7501,0.0022
0.8,0.5522,0.0234,0.5637,0.0227,0.5686,0.0338,0.5606,0.0208,0.7475,0.0051,0.7416,0.0064,0.7446,0.0021
0.9,0.5115,0.0185,0.5188,0.0401,0.5235,0.0634,0.5171,0.0204,0.7438,0.0057,0.7375,0.0056,0.7406,0.0015
