class_sep,flip_y,seed,E1,E2,E4,E5,E1_err,E2_err,E4_err,E5_err,type_C_frac
0.5,0.0,0,0.405,0.3812265262518065,0.039,0.2448,0.405,0.3812265262518065,0.039,0.2448,0.589
0.5,0.0,1,0.267,0.2570011033605921,0.015,0.162,0.267,0.2570011033605921,0.015,0.162,0.733
0.5,0.0,2,0.316,0.3049989861476923,0.016,0.19119999999999998,0.316,0.3049989861476923,0.016,0.19119999999999998,0.68
0.5,0.0,3,0.316,0.29900001003857457,0.021,0.19199999999999998,0.316,0.29900001003857457,0.021,0.19199999999999998,0.681
0.5,0.0,4,0.317,0.30979342682019373,0.025,0.1948,0.317,0.30979342682019373,0.025,0.1948,0.682
0.5,0.0,5,0.286,0.2820007179818644,0.015,0.17639999999999997,0.286,0.2820007179818644,0.015,0.17639999999999997,0.712
0.5,0.05,0,0.424,0.4019003054852368,0.036,0.2556,0.374,0.3519003054852368,0.014000000000000005,0.2056,0.569
0.5,0.05,1,0.278,0.2690004176548778,0.021,0.1698,0.22800000000000004,0.21900041765487782,0.029,0.1198,0.722
0.5,0.05,2,0.325,0.3139987054141399,0.019,0.2008,0.275,0.2639987054141399,0.031000000000000003,0.1508,0.671
0.5,0.05,3,0.323,0.31399741662944936,0.013,0.1942,0.273,0.26399741662944937,0.037000000000000005,0.1442,0.675
0.5,0.05,4,0.335,0.3200007685264139,0.022,0.202,0.28500000000000003,0.2700007685264139,0.028000000000000004,0.15200000000000002,0.664
0.5,0.05,5,0.293,0.28499879064640077,0.014,0.17779999999999999,0.243,0.23499879064640078,0.036000000000000004,0.12779999999999997,0.706
0.5,0.1,0,0.416,0.39301229868720555,0.026,0.2492,0.31599999999999995,0.2930122986872056,0.07400000000000001,0.1492,0.583
0.5,0.1,1,0.3,0.283004627011078,0.02,0.179,0.19999999999999998,0.18300462701107797,0.08,0.07899999999999999,0.699
0.5,0.1,2,0.351,0.33699018686027593,0.017,0.21080000000000002,0.251,0.23699018686027593,0.083,0.11080000000000001,0.647
0.5,0.1,3,0.322,0.30694730815222293,0.017,0.19219999999999998,0.222,0.20694730815222293,0.083,0.09219999999999998,0.674
0.5,0.1,4,0.33,0.31601558584740397,0.015,0.19920000000000002,0.23,0.21601558584740396,0.085,0.09920000000000001,0.665
0.5,0.1,5,0.321,0.3060186054415556,0.019,0.19299999999999998,0.221,0.20601860544155562,0.081,0.09299999999999997,0.677
0.5,0.15,0,0.416,0.39322564836974705,0.04,0.2566,0.266,0.24322564836974706,0.10999999999999999,0.1066,0.581
0.5,0.15,1,0.318,0.30598690748787405,0.024,0.1938,0.168,0.15598690748787405,0.126,0.043800000000000006,0.682
0.5,0.15,2,0.351,0.334986454316077,0.017,0.2084,0.20099999999999998,0.184986454316077,0.133,0.05840000000000001,0.648
0.5,0.15,3,0.35,0.3370000009264443,0.013,0.20800000000000002,0.19999999999999998,0.18700000092644428,0.13699999999999998,0.058000000000000024,0.647
0.5,0.15,4,0.352,0.3349996210476213,0.021,0.2094,0.20199999999999999,0.18499962104762133,0.129,0.05940000000000001,0.647
0.5,0.15,5,0.33,0.3209995145335377,0.013,0.1996,0.18000000000000002,0.1709995145335377,0.13699999999999998,0.049600000000000005,0.664
0.5,0.2,0,0.414,0.39907646649936285,0.033,0.2526,0.21399999999999997,0.19907646649936284,0.167,0.05259999999999998,0.581
0.5,0.2,1,0.33,0.31193690083131326,0.022,0.1984,0.13,0.11193690083131325,0.17800000000000002,0.001600000000000018,0.668
0.5,0.2,2,0.361,0.3450471705308925,0.025,0.2188,0.16099999999999998,0.1450471705308925,0.17500000000000002,0.018799999999999983,0.636
0.5,0.2,3,0.348,0.3309998903312119,0.019,0.2092,0.14799999999999996,0.1309998903312119,0.18100000000000002,0.009199999999999986,0.649
0.5,0.2,4,0.383,0.36200026645656735,0.022,0.2308,0.183,0.16200026645656734,0.17800000000000002,0.030799999999999994,0.615
0.5,0.2,5,0.342,0.3366997101291761,0.027,0.2124,0.14200000000000002,0.1366997101291761,0.17300000000000001,0.012399999999999994,0.656
0.5,0.25,0,0.431,0.4108761267006899,0.03,0.2598,0.181,0.1608761267006899,0.22,0.009799999999999975,0.565
0.5,0.25,1,0.334,0.32199832174039456,0.012,0.1986,0.08400000000000002,0.07199832174039456,0.238,0.0514,0.662
0.5,0.25,2,0.375,0.3659785869306412,0.023,0.2288,0.125,0.11597858693064123,0.227,0.021199999999999997,0.623
0.5,0.25,3,0.374,0.3580007240971815,0.021,0.2244,0.124,0.10800072409718148,0.229,0.02560000000000001,0.626
0.5,0.25,4,0.37,0.35683566843943515,0.026,0.22579999999999997,0.12,0.10683566843943515,0.224,0.024200000000000027,0.626
0.5,0.25,5,0.329,0.31899991714384035,0.017,0.2006,0.07900000000000001,0.06899991714384035,0.23299999999999998,0.0494,0.67
0.5,0.3,0,0.438,0.4149470108039545,0.04,0.26499999999999996,0.138,0.11494701080395453,0.26,0.03500000000000003,0.558
0.5,0.3,1,0.351,0.3379639711929081,0.025,0.2134,0.05099999999999999,0.03796397119290812,0.27499999999999997,0.08659999999999998,0.647
0.5,0.3,2,0.397,0.37900801705402865,0.028,0.241,0.09700000000000003,0.07900801705402866,0.27199999999999996,0.059,0.599
0.5,0.3,3,0.391,0.37531001461721336,0.028,0.2368,0.09100000000000003,0.07531001461721337,0.27199999999999996,0.06319999999999998,0.607
0.5,0.3,4,0.386,0.3729330472750751,0.025,0.2338,0.08600000000000002,0.0729330472750751,0.27499999999999997,0.06619999999999998,0.612
0.5,0.3,5,0.367,0.35501590836449837,0.028,0.2248,0.067,0.05501590836449838,0.27199999999999996,0.07519999999999999,0.628
0.5,0.35,0,0.453,0.4220026735224123,0.036,0.27240000000000003,0.10300000000000004,0.0720026735224123,0.314,0.07759999999999995,0.545
0.5,0.35,1,0.347,0.3358797224534228,0.026,0.2126,0.0030000000000000027,0.014120277546577187,0.32399999999999995,0.13739999999999997,0.65
0.5,0.35,2,0.418,0.4037162640946893,0.035,0.2564,0.068,0.053716264094689326,0.31499999999999995,0.09359999999999996,0.578
0.5,0.35,3,0.373,0.36493748662826037,0.023,0.22820000000000001,0.02300000000000002,0.014937486628260388,0.32699999999999996,0.12179999999999996,0.624
0.5,0.35,4,0.388,0.3700003204976918,0.03,0.2346,0.038000000000000034,0.020000320497691848,0.31999999999999995,0.11539999999999997,0.605
0.5,0.35,5,0.375,0.3611377379312797,0.024,0.2292,0.025000000000000022,0.011137737931279701,0.32599999999999996,0.12079999999999999,0.62
0.5,0.4,0,1.0,0.43662711590021924,1.0,0.67,0.6,0.03662711590021922,0.6,0.27,0.0
0.5,0.4,1,0.398,0.38281000814458965,0.032,0.2426,0.0020000000000000018,0.01718999185541037,0.368,0.1574,0.6
0.5,0.4,2,1.0,0.39433470294237016,1.0,0.6448,0.6,0.005665297057629859,0.6,0.24480000000000002,0.0
0.5,0.4,3,0.406,0.38687445391733544,0.032,0.2456,0.006000000000000005,0.013125546082664585,0.368,0.1544,0.592
0.5,0.4,4,0.402,0.3829854717487342,0.034,0.2434,0.0020000000000000018,0.017014528251265815,0.366,0.15660000000000002,0.596
0.5,0.4,5,0.393,0.370965258055645,0.032,0.2372,0.007000000000000006,0.029034741944355014,0.368,0.16280000000000003,0.597
0.5,0.5,0,0.45,0.43670279846975474,0.029,0.27499999999999997,0.04999999999999999,0.06329720153024526,0.471,0.22500000000000003,0.545
0.5,0.5,1,0.422,0.399022308767226,0.039,0.2556,0.07800000000000001,0.100977691232774,0.461,0.2444,0.578
0.5,0.5,2,0.428,0.4081062944485565,0.023,0.25699999999999995,0.07200000000000001,0.0918937055514435,0.477,0.24300000000000005,0.567
0.5,0.5,3,0.44,0.42778243861279985,0.036,0.2688,0.06,0.07221756138720015,0.464,0.23120000000000002,0.557
