sep,B,flip_y,seed,E1_err,E2_err,E4_err,E5_err,mu_Se_std
1.0,5,0.1,0,0.07700000000000001,0.0755157192122809,0.08600000000000001,0.0848,0.039208320455914866
1.0,5,0.1,1,0.07600000000000001,0.08149143042620399,0.09100000000000001,0.0862,0.03777905101114696
1.0,5,0.1,2,0.07,0.07273675446351913,0.093,0.0834,0.04102553564850873
1.0,5,0.1,3,0.07200000000000001,0.07489646196517216,0.084,0.08220000000000001,0.03700178577153414
1.0,5,0.1,4,0.07700000000000001,0.0758136519649282,0.09100000000000001,0.0844,0.03903031499381558
1.0,5,0.2,0,0.16,0.1611870876592288,0.18200000000000002,0.1754,0.03903758081156677
1.0,5,0.2,1,0.167,0.16505866158923355,0.192,0.18000000000000002,0.03926639543592828
1.0,5,0.2,2,0.164,0.07127719369480007,0.17900000000000002,0.17600000000000002,0.040203001216255495
1.0,5,0.2,3,0.165,0.16560123354204032,0.187,0.17800000000000002,0.039582662940543835
1.0,5,0.2,4,0.166,0.16636871536860948,0.18200000000000002,0.17720000000000002,0.03880239770199898
1.0,5,0.3,0,0.269,0.26446924168149233,0.282,0.2808,0.04146460319279352
1.0,5,0.3,1,0.257,0.22035030939757205,0.27599999999999997,0.2712,0.038697963611029236
1.0,5,0.3,2,0.258,0.25764793145808396,0.27499999999999997,0.2708,0.04135345803130213
1.0,5,0.3,3,0.263,0.2588871893238809,0.27399999999999997,0.27399999999999997,0.03968283629931786
1.0,5,0.3,4,0.266,0.1807238674783398,0.282,0.2784,0.045262733782813994
1.0,5,0.4,0,0.36400000000000005,0.3649607946253775,0.376,0.37660000000000005,0.041445737992817366
1.0,5,0.4,1,0.34700000000000003,0.34756861177778287,0.368,0.3674,0.040770152459568804
1.0,5,0.4,2,0.35000000000000003,0.3479819372495457,0.369,0.36660000000000004,0.042207010395465414
1.0,5,0.4,3,0.36400000000000005,0.36120367800220643,0.376,0.376,0.04182455331424776
1.0,5,0.4,4,0.35700000000000004,0.35747260283421695,0.369,0.369,0.039730069170977586
1.0,10,0.1,0,0.09000000000000001,0.09199334978335273,0.097,0.094,0.018788063325987116
