sep,phi,E1_mean_RF,E1_std_RF,E5_mean_RF,E5_std_RF,typeC_mean_RF,typeC_std_RF,n_ok_RF,n_collapse_RF,label_RF,E1_mean_LR,E1_std_LR,E5_mean_LR,E5_std_LR,typeC_mean_LR,typeC_std_LR,n_ok_LR,n_collapse_LR,label_LR,delta_typeC,bias_E1_LR
1.0000,0.1000,0.0047,0.0012,0.0029,0.0006,0.9953,0.0012,6,0,RF,0.2025,0.0545,0.1226,0.0330,0.7963,0.0551,6,0,LR,0.1990,0.1025
1.0000,0.1500,0.0067,0.0030,0.0039,0.0019,0.9933,0.0030,6,0,RF,0.2215,0.0493,0.1338,0.0306,0.7765,0.0502,6,0,LR,0.2168,0.0715
1.0000,0.2000,0.0062,0.0031,0.0037,0.0016,0.9937,0.0034,6,0,RF,0.2423,0.0483,0.1469,0.0292,0.7562,0.0481,6,0,LR,0.2375,0.0423
1.0000,0.3000,0.0032,0.0024,0.0020,0.0016,0.9968,0.0024,6,0,RF,0.2818,0.0353,0.1709,0.0226,0.7170,0.0354,6,0,LR,0.2798,-0.0182
1.5000,0.1000,0.0137,0.0049,0.0086,0.0029,0.9858,0.0045,6,0,RF,0.1257,0.0508,0.0759,0.0309,0.8737,0.0512,6,0,LR,0.1122,0.0257
1.5000,0.1500,0.0163,0.0016,0.0097,0.0013,0.9835,0.0019,6,0,RF,0.1495,0.0423,0.0911,0.0267,0.8497,0.0434,6,0,LR,0.1338,-0.0005
1.5000,0.2000,0.0147,0.0029,0.0086,0.0017,0.9850,0.0032,6,0,RF,0.1677,0.0403,0.1011,0.0241,0.8315,0.0398,6,0,LR,0.1535,-0.0323
1.5000,0.3000,0.0098,0.0036,0.0061,0.0022,0.9898,0.0038,6,0,RF,0.2192,0.0344,0.1328,0.0218,0.7797,0.0354,6,0,LR,0.2102,-0.0808
2.0000,0.1000,0.0210,0.0056,0.0126,0.0034,0.9790,0.0056,6,0,RF,0.0860,0.0307,0.0521,0.0191,0.9138,0.0310,6,0,LR,0.0652,-0.0140
2.0000,0.1500,0.0248,0.0029,0.0148,0.0016,0.9752,0.0029,6,0,RF,0.1145,0.0278,0.0691,0.0169,0.8855,0.0278,6,0,LR,0.0897,-0.0355
2.0000,0.2000,0.0268,0.0056,0.0165,0.0036,0.9730,0.0056,6,0,RF,0.1310,0.0259,0.0788,0.0151,0.8682,0.0265,6,0,LR,0.1048,-0.0690
2.0000,0.3000,0.0165,0.0046,0.0098,0.0032,0.9835,0.0046,6,0,RF,0.1863,0.0258,0.1123,0.0158,0.8135,0.0261,6,0,LR,0.1700,-0.1137
