arch,flip_y,seed,mu_Se,mu_Se_std,mu_Sp,mu_Sp_std,mu_avg,kappa_Se,kappa_Se_std,kappa_Sp,kappa_Sp_std,kappa_avg,kappa_avg_std,kappa_obs,kappa_obs_std,cv_recall,cv_f1,cv_acc
LR,0.1,0,0.6438477582550001,0.006896536784735159,0.6445672366625,0.007191506261188109,0.64420749745875,147.67028660649999,34.66653339887709,141.76136471350003,33.73208750356484,144.71582566,24.07026912639466,5.281796427825,0.03657635295024304,0.6897959183673469,0.6906382911246134,0.6980000000000001
LR,0.1,1,0.7638231102249999,0.006375403986165708,0.8057494851199999,0.005974036014457879,0.7847862976725001,142.92425685499998,34.26516053476918,138.955935749,32.87967811639619,140.940096302,24.140430887972805,3.297776587425,0.024314941209538105,0.8640000000000001,0.8526874585849402,0.851
LR,0.1,2,0.725313322905,0.006939000696003011,0.7040333006999999,0.0066998986341732895,0.7146733118024999,136.57105157675,31.929971029163706,145.16525870975,35.427897372657526,140.86815514325002,23.81336456424331,3.603330602675,0.025560653634094734,0.7762376237623763,0.7829591010873107,0.7829999999999999
LR,0.1,3,0.7457384805975,0.006505969248715741,0.7483698036275,0.006403596891926628,0.7470541421125001,138.29307113225002,31.759903833359314,142.3366270835,33.41513045011959,140.314849107875,22.97748411716211,3.437601110475,0.024708824150563958,0.8058823529411765,0.805485377107767,0.8009999999999999
LR,0.1,4,0.7003325182975,0.006804489178297738,0.7432424429825001,0.006373774225287563,0.72178748064,138.32102875975002,32.840122739920226,141.22613100624997,32.77747363367225,139.773579883,22.809488937381378,3.7774052749249996,0.027055541584574752,0.8024554455445545,0.7905020818350932,0.788
RF,0.1,0,0.8285855241075,0.00524887992599424,0.81892746198,0.0053979945653976295,0.82375649304375,159.2276825215,38.313313062288934,158.78128661675,37.29887897942752,159.004484569125,26.625713777027638,3.926714705475,0.029809580635777527,0.8040816326530612,0.8261254086965624,0.835
RF,0.1,1,0.83826073247,0.005236871564323059,0.8401112797999999,0.005165882705282411,0.839186006135,159.33083534125,38.745013300656325,161.081119891,38.813906711703275,160.20597761612498,26.917588845381815,3.8241316648499994,0.030195911642535725,0.8800000000000001,0.8617211067803596,0.859
RF,0.1,2,0.837893919405,0.005205627191999043,0.84146816513,0.005050830638597312,0.8396810422675,161.13632599849998,38.17685624413282,158.81385419375002,37.50647039224398,159.975090096125,26.85452330348057,3.5684253734499998,0.02797333737229632,0.8495049504950496,0.8505146042547468,0.85
RF,0.1,3,0.849006660645,0.005197671119464802,0.835348875015,0.005223073578740217,0.84217776783,161.13364104024998,37.18865661765985,160.33919183800003,38.895720183840226,160.73641643912498,26.93051877787967,3.5448035633250004,0.028048428993510267,0.8411764705882353,0.8418348493786867,0.8379999999999999
RF,0.1,4,0.8244378345225,0.005423193144689273,0.8363012732074999,0.005140655004795253,0.8303695538650001,162.77350515724999,38.27993791797999,162.45311102075001,38.97852403168453,162.613308089,27.75978437434215,3.944216316175,0.0300965578431973,0.8683168316831683,0.8604404144396034,0.859
SVM,0.1,0,0.8370193686375,0.005446618438740056,0.80963374948,0.005471952068425653,0.8233265590587501,145.20404629475001,33.982384759653144,155.49500423125,37.32874542748299,150.34952526299998,24.741881067182984,3.556950595875,0.027414389622991253,0.8122448979591838,0.8485778837388628,0.858
SVM,0.1,1,0.8288376689325,0.005681197545568807,0.8623964766975,0.005040949401830906,0.845617072815,147.70185272000003,35.30775324389834,148.15605929100002,35.3654331800687,147.9289560055,25.02230682206419,4.060924562575,0.032451190017982884,0.9279999999999999,0.9011063141468911,0.898
SVM,0.1,2,0.8202667666974999,0.0056259720057509665,0.81977499671,0.00573743764548732,0.82002088170375,146.83694813700004,34.9351111269343,141.86939533325,33.36529188940854,144.353171735125,24.337364331792703,4.0395546355750005,0.030440643238028937,0.8673267326732674,0.8586031568938255,0.8559999999999999
SVM,0.1,3,0.8298872397,0.005618120886550138,0.8225557361,0.0056880054022241215,0.8262214879,148.89958972699998,36.069904404280656,140.90202542825003,33.87818892651621,144.90080757762505,24.661875842875723,3.2960139715750003,0.025488363416736264,0.8803921568627452,0.8782127247304983,0.875
SVM,0.1,4,0.8299092298124999,0.005111315899237519,0.8525718838474999,0.0051474912099906765,0.8412405568300001,161.53689330549997,37.5210511824524,150.55824455274998,35.287540378370544,156.047568929125,26.063770260464736,3.670284524075,0.02895584990196381,0.8901980198019801,0.8837540721364071,0.883
GB,0.1,0,0.7868588042500001,0.005670568982945834,0.76373892024,0.006270845644839038,0.775298862245,158.00234714625,37.86804014220451,147.84520313275,34.98999744884363,152.9237751395,25.492927323012555,4.9902239983,0.036146855168588905,0.7653061224489796,0.7869733522369678,0.7969999999999999
GB,0.1,1,0.8169891975875,0.0054961085997159535,0.8278590760675,0.005151573049351884,0.8224241368274999,156.96692605524998,36.613364332254704,160.20351808524998,37.51369222290331,158.58522207024998,26.351368905688247,4.411700916375,0.03384315158742318,0.884,0.8664184056994136,0.8639999999999999
GB,0.1,2,0.8139256787625,0.005525529133931184,0.81226172752,0.005640882902033817,0.81309370314125,153.011254246,36.82798525133478,153.54952872975002,36.71105355097922,153.280391487875,26.172924380906156,4.340910440625,0.03367825393008443,0.8396039603960397,0.8330379815269084,0.8310000000000001
GB,0.1,3,0.819814988655,0.005435178517581128,0.8160108525199999,0.005673822497004585,0.8179129205875,156.25077382375,37.06358220807524,154.271636267,36.61540229387907,155.261205045375,26.108752996451287,4.271862097375,0.03258363944208152,0.8431372549019608,0.8290489595526633,0.8220000000000001
GB,0.1,4,0.7953634049625,0.005514716936184427,0.8118679446799999,0.005418985748535596,0.80361567482125,162.82100694125,39.59028582683404,159.79056973824999,37.58533350822002,161.30578833974997,27.29687666565143,4.654149930775,0.0355709927457269,0.8284158415841583,0.82203518410955,0.8210000000000001
