arch,flip_y,seed,mu_Se,mu_Se_std,mu_Sp,mu_Sp_std,mu_avg,kappa_Se,kappa_Se_std,kappa_Sp,kappa_Sp_std,kappa_avg,kappa_avg_std,kappa_obs,kappa_obs_std,cv_recall,cv_f1,cv_acc
LR,0.1,0,0.5334199015425,0.04407173241902413,0.5420762341475,0.04154869631375483,0.537748067845,147.002324864,34.7975007102258,147.10324294425,34.945235381453834,147.05278390412502,24.611326698430258,14.04325690875,0.911952511629721,0.5510204081632654,0.5643695785321793,0.584
LR,0.1,1,0.6437782262075,0.007260146113454484,0.6556948598300001,0.007134585834245504,0.64973654301875,133.51643500025,32.09777336793576,144.48953710024998,34.38403603026081,139.00298605025,24.049490737537706,5.9556530346,0.04245430111560992,0.718,0.7091084814422315,0.7060000000000001
LR,0.1,2,0.620887719885,0.0072568252844775576,0.6034244998675,0.00703303617004621,0.6121561098762499,138.53549622325,32.38835436306993,150.001843865,35.48267140192037,144.268670044125,24.090929069943144,7.6018342922499995,0.05396046673970176,0.6257425742574257,0.6337839272572529,0.635
LR,0.1,3,0.6300909356225,0.007237956550072359,0.6285150882824999,0.0071578786443886756,0.6293030119524999,140.73260873024998,33.97422133959404,145.70357086099997,35.27231785344479,143.21808979562502,24.27059158300803,7.076451675475,0.049154594322519604,0.7039215686274509,0.689368491811792,0.6759999999999999
LR,0.1,4,0.6077818954725001,0.007224359899314957,0.6166095697949999,0.007365318992860151,0.6121957326337499,141.16341358075,32.71092219899698,147.60825457775,35.081681300228595,144.38583407925,24.010459601276146,7.969139982425,0.05739318676971351,0.6587920792079208,0.6498307916190724,0.648
RF,0.1,0,0.800275985545,0.005593075693407219,0.793259851295,0.005669055521856734,0.79676791842,161.38761210475002,37.99121426601077,159.217698455,37.24234397211958,160.302655279875,26.27344203472365,3.987719286275,0.029000578074148523,0.7224489795918367,0.756724487189089,0.773
RF,0.1,1,0.79340760133,0.005489161971979042,0.7941870786375,0.005855726275562342,0.7937973399837499,160.50123262174998,38.35412043786159,155.40299600675002,37.74369118932423,157.95211431425,27.06723636970426,3.9714091243499996,0.030075777126292214,0.792,0.7757754327109435,0.772
RF,0.1,2,0.8024484069200001,0.005656729125070257,0.8104290689649999,0.005459442783170718,0.8064387379425,162.29600526425,38.16463185110313,163.440466539,37.52159870685037,162.86823590162498,26.664278043876294,3.763076135,0.02756152882432404,0.801980198019802,0.7915532095619463,0.786
RF,0.1,3,0.803144333355,0.005698907864036332,0.7921498679,0.005737515479115636,0.7976471006275,159.80897675174998,38.083314743722845,162.40978026425,38.02665285304335,161.109378508,26.86942299288794,3.8354782387250004,0.02843673220751794,0.7784313725490195,0.775627564491269,0.77
RF,0.1,4,0.785768679335,0.00592496493721036,0.794819223825,0.00552391086947908,0.7902939515800002,161.87675636725,39.09032951370121,160.86844443725,37.720296126360225,161.37260040225,26.833687691130567,4.050490467275,0.030117687093028266,0.8163960396039605,0.7892971039316926,0.782
