arch,flip_y,seed,mu_Se,mu_Se_std,mu_Sp,mu_Sp_std,mu_avg,kappa_Se,kappa_Se_std,kappa_Sp,kappa_Sp_std,kappa_avg,kappa_avg_std,kappa_obs,kappa_obs_std,cv_recall,cv_f1,cv_acc
LR,0.1,0,0.60516310722,0.006587986174397485,0.7173383580674999,0.006166379708500256,0.6612507326437501,166.62346302699999,39.396965940482225,160.14646333225002,38.14665541984013,163.38496317962498,26.906131474005335,10.268570473,0.0735839450985048,0.710204081632653,0.7798518715781724,0.8039999999999999
LR,0.1,1,0.8047380805425001,0.005564548299562938,0.75150569458,0.005880684450369558,0.77812188756125,160.96466863925,37.41894332780776,165.13209813350002,39.11389661694018,163.048383386375,27.23140608237267,8.505072482349998,0.0627494901405232,0.9480000000000001,0.9259765833529545,0.924
LR,0.1,2,0.7510145515,0.006115337538976688,0.7759019848475,0.005992175446173667,0.76345826817375,158.03481431149999,38.11024676565822,158.381019356,37.46683894293164,158.20791683374998,27.030463890020975,5.44116051995,0.03968142545286771,0.9029702970297031,0.8974301410362008,0.8959999999999999
LR,0.1,3,0.8196758736399999,0.005399810180231454,0.758831362935,0.005968544126236643,0.7892536182875,163.37935746125,39.0411948182828,163.76659460450003,38.49644548020838,163.572976032875,27.337067160799936,6.084320256475,0.045192360148377214,0.9254901960784314,0.9113467413567585,0.9080000000000001
LR,0.1,4,0.7358357244725,0.006052958632839098,0.7371247397325,0.006258337083585938,0.7364802321025,167.64256205750002,38.935723950953815,168.16142127,39.233282026705396,167.90199166375,27.694581998701505,8.78344214135,0.06395401470186458,0.9421188118811881,0.9059342088336247,0.9019999999999999
RF,0.1,0,0.621030265165,0.006851305801620434,0.6143304336125,0.006972585610622445,0.61768034938875,155.90278376875003,36.451488959832524,146.75092219974997,35.14860643118402,151.32685298425,25.83352706607922,19.87186394625,0.14820526260172195,0.7612244897959184,0.8080876440957085,0.8230000000000001
RF,0.1,1,0.6706136478025001,0.006716441686833668,0.6552501586875,0.006654577242810714,0.662931903245,145.73263934975,34.05004101572281,152.29847964899997,34.980337064156444,149.015559499375,24.28418090375559,17.549840863999997,0.12618941237839054,0.8640000000000001,0.8769558688281274,0.8790000000000001
RF,0.1,2,0.6619388709825,0.006887249780771803,0.65732241823,0.00656000388268213,0.6596306446062499,146.810460371,33.7080392098368,152.62732205474998,35.01693368978639,149.71889121287504,24.057657448763,20.184309875,0.15150451028102388,0.9009900990099009,0.8777116677179885,0.874
RF,0.1,3,0.6764886387450001,0.0069251779768567225,0.6532920245924999,0.006764014939420391,0.6648903316687499,142.32683464575,33.324196341086974,155.4423299875,37.364935773676365,148.884582316625,25.30678009682017,17.67040100325,0.13156700942912225,0.8647058823529413,0.8787052059250655,0.8779999999999999
RF,0.1,4,0.67281514085,0.006527904396141734,0.68071399539,0.006623008667997347,0.6767645681200001,155.74880784375,36.97978263163621,160.26912458750002,38.00623778708127,158.008966215625,26.859389433750486,14.09931195825,0.10323491756880522,0.8722376237623763,0.862576249748306,0.861
