arch,flip_y,seed,mu_Se,mu_Se_std,mu_Sp,mu_Sp_std,mu_avg,kappa_Se,kappa_Se_std,kappa_Sp,kappa_Sp_std,kappa_avg,kappa_avg_std,kappa_obs,kappa_obs_std,cv_recall,cv_f1,cv_acc
LR,0.0,0,0.668625757415,0.006678731165162395,0.6659450718350001,0.0070263282158880055,0.6672854146249999,147.55713150399998,34.29260533148049,140.17796472025,32.32342742344311,143.867548112125,23.520523674542726,4.992256913,0.03459149762231402,0.722,0.7147504890824293,0.712
LR,0.0,1,0.8260637484525,0.005510951426707111,0.8677041673125,0.004802174863543486,0.8468839578825,151.40205187975002,36.022175464170154,160.27448304125,37.911936243391686,155.83826746050002,26.222766350302997,2.4444733470249997,0.019837327340919975,0.9,0.895759438480382,0.8950000000000001
LR,0.0,2,0.787713281995,0.006041123506387447,0.7719526263600001,0.006494978766335461,0.7798329541775,142.792283964,33.470966103643555,136.75668433975,33.79562655305683,139.774484151875,23.763755471630134,2.9886437533500003,0.022096849201811642,0.8200000000000001,0.8234970262397155,0.8240000000000001
LR,0.0,3,0.7923971301975,0.0060356751586132925,0.7964090528675,0.00601707553499509,0.7944030915325001,143.967024847,34.37930795946194,145.33954631174998,34.88998344090466,144.653285579375,24.809337578780667,2.9258735462249996,0.02207327985986339,0.836,0.8367639337459906,0.8370000000000001
LR,0.0,4,0.7320090476974999,0.006552336622294318,0.79148259541,0.006221732654324524,0.76174582155375,139.17019528925,32.73551417891005,142.74281639400002,34.37058026353819,140.956505841625,23.954476764429078,3.2229578857,0.02340190761805735,0.836,0.8188573829263879,0.8149999999999998
RF,0.0,0,0.8503511590775,0.004956771897692795,0.8333876248250001,0.005217567009111432,0.84186939195125,164.71560190875002,38.29703191550257,164.04363435800002,38.931840151578655,164.37961813337498,26.857076551762617,4.109814048125,0.03260667349311152,0.8539999999999999,0.8707133281245533,0.873
RF,0.0,1,0.8700939182674999,0.004682507780625353,0.87903332709,0.004643475247297468,0.87456362267875,167.784285465,40.069206825286535,165.75428863375,38.4880376277916,166.76928704937498,27.543712647184673,4.3795753700499995,0.03618577369035499,0.9400000000000001,0.9164217343812557,0.914
RF,0.0,2,0.8726913525075001,0.0045542515743616525,0.8865795912975,0.004331801459258318,0.8796354719024999,165.67107478874996,39.0822606145497,166.949173936,40.30043063068273,166.310124362375,27.712446467841442,4.017109656075,0.03399331461797567,0.8959999999999999,0.8986536582820616,0.899
RF,0.0,3,0.8683667443399999,0.004727410363864122,0.87287473976,0.004497524147442241,0.87062074205,166.9170376925,39.43382444104981,167.90485147599998,39.47808963103959,167.41094458425002,28.55726341443577,3.826520370825,0.03174405793168898,0.876,0.8846423782734,0.8860000000000001
RF,0.0,4,0.8449843428375,0.004977614248327393,0.862343103385,0.004672168741707531,0.8536637231112499,162.09936962125,38.40707314928385,165.58017761999997,38.794443504786834,163.839773620625,26.870423477162127,4.07153948855,0.03212490896460664,0.9200000000000002,0.8950525292138952,0.892
SVM,0.0,0,0.8821753669075,0.004707538763175265,0.841243694345,0.005097592025502725,0.86170953062625,147.815835032,34.40317380706111,156.10343470774998,36.62928125491699,151.95963486987498,25.50108058277051,3.036758083275,0.02475225265891587,0.8539999999999999,0.8859170565475116,0.89
